the msg is <meta message track_name name='' time=0> in track number 0
the msg is pitchwheel channel=0 pitch=0 time=0 in track number 0
the msg is note_on channel=0 note=35 velocity=90 time=0 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=512 in track number 0
the msg is note_off channel=0 note=35 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=40 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=512 in track number 0
the msg is note_off channel=0 note=40 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=40 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=40 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=42 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=42 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=42 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=42 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=35 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=35 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=35 velocity=90 time=0 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=512 in track number 0
the msg is note_off channel=0 note=35 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=30 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=28 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=30 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=28 velocity=0 time=512 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=35 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=35 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=35 velocity=90 time=0 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=512 in track number 0
the msg is note_off channel=0 note=35 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=35 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=32 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=35 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=32 velocity=0 time=512 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=35 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=35 velocity=0 time=1024 in track number 0
the msg is note_on channel=0 note=35 velocity=90 time=0 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=512 in track number 0
the msg is note_off channel=0 note=35 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=30 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=28 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=30 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=28 velocity=0 time=512 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=512 in track number 0
the msg is note_on channel=0 note=37 velocity=90 time=0 in track number 0
the msg is note_off channel=0 note=37 velocity=0 time=1024 in track number 0
the msg is <meta message end_of_track time=1024> in track number 0
